Molecule,SMILES,Volume,PSA_RDKit,NHA,NHD,NRB,FractionCSP3,PSA_Volume_Ratio,E_HOMO,E_LUMO_HOMO_GAP,Dipole_Moment,Polarizability,PSA_DFT,Partition_Energy_kcal_mol,Hydration_Energy_kcal_mol,LogD,KSOL,HLM,MLM,Caco-2-PP,Caco-2-PE,MPPB,MBPB,MGMB,rankPP,rankPE,rankKSOL,MPPB_,MBPB_,MGMB_,Caco-2-PE-log
E-0003079,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,376.656,82.72,5,2,7,0.208333333333333,0.219616838706937,-0.205219250267061,0.129934432449053,4.15629692189582,476.843183821529,334.04100077305,7.34120924550702,-16.276716898593,,,2.12823170584927,5.83773044716594,,,,,,,,,,,,
E-0003089,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,393.488,95.85,5,3,7,0.2,0.243590655877689,-0.198442936967253,0.150313283219385,0.920637044999088,494.126169379419,675.329163619338,11.5959717373925,-25.245483990624,,,2.72129542785223,4.42843300748804,,,,,,,,,,,,
E-0003090,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,382.24,69.83,4,2,7,0.2,0.182686270406028,-0.20627177852788,0.157170354893216,1.08612139382913,476.611547362871,591.046990778903,9.69222752347504,-21.1005250775511,,,2.99071973173045,5.82008293035236,,,,,,,,,,,,
E-0010021,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,305.816,70.15,5,2,5,0.235294117647059,0.229386297643027,-0.215935675023473,0.146762269758493,4.18291567897369,336.195689109527,390.017277945445,7.59143799557136,-16.3714809109543,,,2.3887627892351,5.19849703126583,,,,,,,,,,,,
E-0010022,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,331.232,79.38,6,2,7,0.277777777777778,0.239650758380833,-0.21627740926933,0.147045348745009,4.86351259436204,355.777061348078,452.125838693478,8.25876658305761,-17.8905979643039,,,2.8094026953625,5.52585126616354,,,,,,,,,,,,
E-0010024,CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,257.704,84.73,6,2,3,0.230769230769231,0.3287880669295,-0.228058748188995,0.159229076351251,5.05776675400607,278.404033843932,575.706275896764,8.59394216165216,-18.5424974672628,,,,3.61091791264422,,,,,,,,,,,,
E-0010025,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,223.616,95.59,5,3,3,0.0909090909090909,0.427473883800801,-0.229914844646242,0.160724831414939,5.48354586338384,243.490882689929,555.414008083787,9.57404203908815,-20.540197726745,,,2.33214389523559,7.62339753736945,,,,,,,,,,,,
E-0010059,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,393.528,99.25,6,3,6,0.363636363636364,0.252205688032364,-0.212665466248986,0.143359249275193,4.97740777980803,416.314349645563,639.52560471796,10.8432487482526,-23.1327670793877,,,2.31253542384721,4.02177386938727,,,,,,,,,,,,
E-0010060,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,387.632,124.69,6,4,6,0.0869565217391304,0.321671069467949,-0.230277710175872,0.160966029104939,4.3307936691281,447.31175566614,554.969228357751,10.9064907114059,-23.9349462556166,,,4.01457959375324,6.49117866611925,,,,,,,,,,,,
E-0010062,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,359.936,66.49,4,2,8,0.272727272727273,0.18472728485064,-0.213784584845838,0.155045624503243,2.06874019913688,389.326744385754,371.716782217812,7.77895285809517,-17.0527561784665,,,,3.6988297849671,,,,,,,,,,,,
E-0010066,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,351.392,66.49,5,2,8,0.3,0.189218878062107,-0.213461934829184,0.172445207188119,3.23952913388181,372.664763868742,385.155450135234,7.64631747436522,-16.7801394041937,,,,4.24992279404054,,,,,,,,,,,,
E-0010071,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,441.792,114.94,5,4,8,0.222222222222222,0.260167680718528,-0.19891167169875,0.128681492598019,2.21794341597636,584.907897639797,599.408281065779,11.6078328756031,-25.4258943642184,,,5.16135151147488,4.58190155904874,,,,,,,,,,,,
E-0010120,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,360.336,66.49,4,2,8,0.272727272727273,0.184522223702322,-0.213865956521609,0.158323493402859,3.25390765371945,387.947902577723,391.642760238319,8.04274476106872,-17.5562074989989,,,2.82137888640921,6.51737580829201,,,,,,,,,,,,
E-0010121,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,283.88,80.04,3,3,4,0.111111111111111,0.281950119768916,-0.217934781080138,0.15908123354377,1.8413783705392,322.315010278101,406.084725292513,8.15976301707452,-17.8952564346342,,,4.82189316949938,6.08677472691231,,,,,,,,,,,,
E-0010138,COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,382.424,59.39,5,1,5,0.333333333333333,0.155298830617325,-0.192634080983904,0.115797336723927,2.00909833356818,469.391279191651,431.829356468108,5.50861738005016,-12.200593507238,,,,8.31554201544013,,,,,,,,,,,,
E-0010347,Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,317.712,30.29,4,0,4,0.285714285714286,0.0953379161001158,-0.191762241215274,0.128337018938959,2.26076040568479,399.070563977138,301.122526387236,4.87846499664417,-10.8284878814706,,4.80402104473326,,6.03810955493103,,,5.2,,,,,2,2.90311078367359,,,
E-0010358,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,366.68,39.52,5,0,5,0.375,0.107777898985491,-0.191600387186424,0.12825445914185,2.05222322017987,445.395397914109,401.493615659805,5.89974658722411,-13.0836242569686,,,2.45958884180371,6.24997524225948,,,,,,,,,,,,
E-0010360,Cc1c2ccncc2cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,357.184,30.29,4,0,5,0.375,0.0848022307830138,-0.191485284731053,0.128302710094209,3.32988835088205,442.529528143464,319.034877555462,4.77363293964534,-10.5727146109882,,,,5.61604356034819,,,,,,,,,,,,
E-0010361,CCN(CC)CCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,368.392,30.29,4,0,7,0.375,0.0822221980933353,-0.191060221414768,0.127918404179396,2.07820662482743,444.261348089525,284.520907632176,4.83050647574303,-10.7256599265378,,,,5.49962422325307,,,,,,,,,,,,
E-0010362,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,350.096,39.52,5,0,4,0.347826086956522,0.112883323431287,-0.192052067999577,0.128486542338754,3.69618350438503,432.593724890667,415.660546457848,5.70142005861397,-12.6192378641469,,,2.45958884180371,6.53087762772589,,,,,,,,,,,,
E-0010455,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,286.016,70.14,4,1,3,0.157894736842105,0.245231036025957,-0.193665905733034,0.129433095409959,4.04882435520346,365.408495045605,486.533140517678,7.24898079774474,-16.0445845309857,,,3.85439389259151,5.99146454710798,,,,,,,,,,,,
E-0010457,Cc1c2ccncc2cc2c3cc(C(=O)NCCN(C)C)ccc3n(C)c12,341.072,50.16,4,1,4,0.272727272727273,0.147065722193554,-0.202794767073199,0.137302017872306,1.38590588178914,427.031780822902,443.147819363902,6.72464477228655,-14.7456423550185,,,,5.78689738136671,,,,,,,,,,,,
E-0010464,COc1ccc2c(c1)c1cc(C(=O)NCCCN(C)C)nc(C)c1n2C,339.288,59.39,5,1,6,0.4,0.175043031289052,-0.202421874459396,0.151531110707211,2.57679753853388,376.003068167573,386.487362189512,6.20885383295453,-13.707915813888,,5.20948615284142,,6.17939534266645,,,23.7,,,,,3,1.16919789014933,,,
E-0010481,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,418.336,62.63,6,1,10,0.5,0.149712193069686,-0.202540854609775,0.151274417976613,3.22133907033356,447.570332521317,389.140185791895,6.86420369825856,-15.2090424195617,,5.31811999384422,,5.62076311893611,,,62.1,,,,,3,-0.493794876851052,,,
E-0010482,Cc1nc(C(=O)NCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,402.096,62.63,6,1,9,0.478260869565217,0.155758823763479,-0.202397538546869,0.151449835155231,2.80711941442163,433.561808738105,422.275225856628,6.66709057852462,-14.7321789922656,,5.41610040220442,,5.3831179682405,,,37,,,,,3,0.532216813747308,,,
E-0010495,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,314.336,51.44,5,1,3,0.238095238095238,0.163646543825715,-0.193842035515149,0.129612378303609,2.25128267507435,399.955832076471,344.127843448881,6.11948837685172,-13.6269162667321,,,,5.4553211153577,,,,,,,,,,,,
E-0010519,CN(C)CCCNC(=O)c1cc2c3cc(OCCCN(C)C)ccc3n(C)c2cn1,402.448,62.63,6,1,10,0.478260869565217,0.155622589750726,-0.203331452009716,0.147141654069322,3.41021330039343,433.303829157565,424.437433057716,6.6161049900998,-14.6793271136697,,5.19849703126583,,4.86676492367655,,,43.9,,,,,3,0.245221492447525,,,
E-0010520,CN(C)CCCOc1ccc2c(c1)c1cc(C(=O)NCCN(C)C)ncc1n2C,385.016,62.63,6,1,9,0.454545454545455,0.162668564423297,-0.20332149957978,0.146959286844178,3.53454455397055,418.106641429938,423.097182846698,6.51156141885503,-14.465140852022,,5.27299955856375,,3.74242022104197,,,74.1,,,,,3,-1.05117256359655,,,
E-0010559,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,303.616,56.15,4,1,3,0.2,0.184937552698145,-0.19380605029813,0.129486092719049,4.07895603116346,381.672776696697,473.444599459378,6.75313863450941,-14.8640429567756,,2.60268968544438,3.91002100275747,6.60462110197144,,,1.4,,,,,1,4.25459902498738,,,
E-0010561,COc1ccc2c(c1)c1cc3c(C(=O)NCCN(C)C)nccc3c(C)c1n2C,366.384,59.39,5,1,5,0.304347826086957,0.162097689855452,-0.192344864879408,0.116379364049087,1.70215616074088,453.519350344901,482.552005531447,5.58859280133804,-12.3073965126378,,5.06259503302697,,8.10955572544642,,,3.6,,,,,3,3.28757235615444,,,
E-0010562,Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,356.848,30.29,4,0,4,0.375,0.0848820786441286,-0.19171813443862,0.128297170966992,2.24431878776025,442.183525833743,293.728099132858,4.79362942197776,-10.6332800159002,,4.94875989037817,2.61006979274201,5.69943972522206,,,3.4,,,,,3,3.34680330959636,,,
E-0010567,Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,284.432,53.07,4,1,3,0.210526315789474,0.186582381729201,-0.191588144941461,0.128277247191505,2.60688879420449,367.327146960132,335.919618753328,5.57744664214381,-12.403226050109,,5.05624580534831,2.68102152871429,4.9781121023907,,,2.9,,,,,3,3.51103063830485,,,
E-0010568,COc1ccc2c(c1)c1cc3c(C(=O)NCCCN(C)C)nccc3c(C)c1n2C,382.36,59.39,5,1,6,0.333333333333333,0.155324824772466,-0.192706825247855,0.117379435200236,1.93614097829725,468.600769670472,446.252477383196,5.42412118568417,-11.9584161705091,,,,7.26396011243625,,,,,,,,,,,,
E-0010569,Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,370.48,33.53,5,0,4,0.375,0.0905042107536169,-0.191663661406489,0.128217271994922,2.09305261015741,453.041516147305,316.739985469097,5.39716962713949,-12.0164330391375,,5.47227067367148,2.92316158071916,5.59024043325707,,,2.4,,,,,3,3.70540875606515,,,
E-0010578,CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,351.24,30.29,4,0,6,0.347826086956522,0.0862373306001594,-0.191721903343812,0.128354907661408,2.31503250499034,430.257042168538,289.342577201572,4.8496140581836,-10.7651228126585,,5.50533153593236,2.61739583283408,5.4743693103284,,,3.1,,,,,3,3.44227740740562,,,
E-0010584,COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,255.04,27.05,3,0,1,0.166666666666667,0.106061794228356,-0.190330261336413,0.123295630724527,1.84041728499341,342.292888664024,304.037195669946,4.4238948638767,-9.77034930803023,,,4.51852237926242,7.28468372894811,,,0.8,,,,,,4.82028156560504,,,
E-0010596,Cc1c2ccncc2cc2c3ccc(OCC4=NCCN4)cc3n(C)c12,314.32,51.44,5,1,3,0.238095238095238,0.163654874013744,-0.199647056940811,0.138895560984074,3.0973048464142,403.50876312811,359.815772388863,6.18304211971696,-13.7393268963028,,,,6.41820179049169,,,,,,,,,,,,
E-0010600,COc1ccc2oc3c(C)c4ccncc4cc3c2c1,234.208,35.26,3,0,1,0.117647058823529,0.150549938516191,-0.211318153854541,0.141924280139032,2.22532118494518,306.574782889972,185.759531248596,3.59307904736444,-8.03277598866184,,,4.72827238312208,5.61458689585173,,,0.6,,,,,,5.10997773742852,,,
E-0010604,Cc1c2ccncc2cc2c3cc(OC[C@H]4CCCN4)ccc3n(C)c12,323.728,39.08,4,1,3,0.318181818181818,0.120718627983987,-0.191516056713669,0.128242853334224,2.53409319308729,408.30363361444,320.32080339877,5.11268656907142,-11.3671817798645,,5.16478597392351,,5.35752922617988,,,3.7,,,,,3,3.2591354991539,,,
E-0010607,Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,314.576,51.44,5,1,3,0.238095238095238,0.163521692691114,-0.201422821382776,0.137591826479004,2.90215431602292,395.157864358647,368.760322470008,5.9491469653225,-13.1618560637089,,,2.98061863574394,6.3628556748824,,,,,,,,,,,,
E-0010611,Cc1c2ccncc2cc2c3cc(OC[C@@H]4CCCN4)ccc3n(C)c12,323.752,39.08,4,1,3,0.318181818181818,0.120709679013566,-0.192150758102797,0.128543777516123,2.51259052787023,408.347529302446,317.510271032918,5.22671845973597,-11.6019262236787,,5.42934562895444,,5.43459498484059,,,1.8,,,,,3,3.9992195504583,,,
E-0010625,Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,320.736,47.36,4,0,3,0.238095238095238,0.147660381123416,-0.193528804780932,0.12934081991558,1.57570995120254,399.004987570499,414.649403186326,6.22851887694189,-13.7709113678276,,2.16676536985151,4.20020495292158,6.76722804384516,,,1.7,,,,,1,4.05739577609095,,,
E-0010627,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,434.344,71.86,7,1,9,0.52,0.165444900815943,-0.201334889564581,0.14859348777744,3.72535436735034,466.274067185299,546.923173882833,7.49511874423064,-16.5002729889622,,5.01727983681492,,6.21280647647556,,,47.1,,,,,3,0.116130337841882,,,
E-0010628,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,398.784,83.78,7,2,8,0.434782608695652,0.210088669555449,-0.203954560955046,0.150317862837609,3.10426826689876,433.685362445747,455.781593905911,7.91327054552732,-17.5612033163789,,,,4.05352256770185,,,,,,,,,,,,
E-0010647,CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,306.312,65.97,6,2,7,0.277777777777778,0.215368643735799,-0.208141968244203,0.157197613985057,3.35979311221602,358.421892947535,380.092545727193,5.80419552142076,-12.9484696539752,1.5,,,,1.64093657949347,1.92,,,,2,3,,,,,1.07
E-0010656,CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3c(C)c21,331.488,51.44,5,1,4,0.272727272727273,0.155179071338932,-0.194254890946912,0.130353338934367,2.32558859790181,415.845455319272,342.228248920684,6.09268715629917,-13.5794589241213,,5.31320597904179,,6.18641436405141,,,1.4,,,,,3,4.25459902498738,,,
E-0010660,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4C)ccc3n(C)c12,331.704,42.65,5,0,3,0.272727272727273,0.12857849166727,-0.192750350100141,0.129178208771165,3.52628385211795,414.505289179305,388.118055056428,5.83043694790606,-12.8672671391584,,4.3267781604434,,5.50288953227681,,,5.6,,,,,2,2.82477447541035,,,
E-0010662,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,333.384,39.52,5,0,4,0.318181818181818,0.118541981618794,-0.194859052408079,0.130059901537268,2.84914433903181,413.66480352991,379.092855807456,5.73430604887675,-12.7518944270428,,5.34233425196481,3.40119738166216,7.21956883100885,,,1.8,,,,,3,3.9992195504583,,,
E-0010676,Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,339.032,34.59,5,0,4,0.318181818181818,0.102025767479176,-0.206300800666764,0.136372797517991,1.59529116241963,419.841007071817,232.470651732007,5.04751941518229,-11.3570217216607,,,3.83945231259331,7.75688004099644,,,,,,,,,,,,
E-0010686,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C(C)C)c12,348.064,51.44,5,1,4,0.304347826086957,0.147788912383929,-0.194638860427613,0.13068402974378,3.4217485814141,426.975855704105,346.059884893318,6.04540915209516,-13.4652081796022,,,,6.00659943469225,,,,,,,,,,,,
E-0010690,Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,260.904,60.91,3,1,1,0.111111111111111,0.233457516941097,-0.20338375867114,0.137721368272242,1.68176213397572,351.896895167448,505.838525571887,7.30355109094954,-15.9548511142868,,,4.30945594183905,7.24885962792991,,,1.7,,,,,,4.05739577609095,,,
E-0010691,CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,277.72,46.92,3,1,1,0.157894736842105,0.168947141005329,-0.203008916069589,0.137402286625389,1.64967357777576,369.400093841494,489.378575650448,6.88303076779049,-14.9421935750247,,,3.74004774068834,5.40627450805313,,,1.7,,,,,,4.05739577609095,,,
E-0010712,Cc1c2ccncc2cc2c3cc(C(=O)NCCO)ccc3n(C)c12,302.016,67.15,4,2,3,0.2,0.222339213816487,-0.204571638511586,0.137947721630463,2.53508594363,392.039616883879,605.892902025177,7.91477773912244,-17.2087175474147,,,2.85647020622048,5.25957653823161,,,,,,,,,,,,
E-0010713,COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,320.528,56.15,4,1,4,0.238095238095238,0.175179703489243,-0.20314421438489,0.13747875457637,1.95320872989672,404.50865728006,439.862176585411,6.83780819216035,-15.0519496574828,,4.97673374242057,3.71357206670431,7.55024054473986,,,5.9,,,,,3,2.76940569567966,,,
E-0010724,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,301.16,53.07,4,1,3,0.25,0.176218621330854,-0.191747078621937,0.128393223783382,2.64262895546487,383.287323451559,331.989169789711,5.51742467212376,-12.2620333927336,,,,4.2780540442909,,,,,,,,,,,,
E-0010727,Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,337.76,82.61,6,1,5,0.4,0.244581951681667,-0.201708088371316,0.149454752283776,3.63916105717819,373.849228075991,509.959070699408,7.60719208004236,-16.8276575840975,,2.7408400239252,2.54160199346455,7.37969453369563,,,8.5,,,,,1,2.3762728087852,,,
E-0010730,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,514.552,65.87,7,1,9,0.483870967741936,0.12801427260996,-0.198097055827745,0.125556935103405,3.05593663948202,604.781819483766,602.454596122325,6.9751611377615,-15.2784502521699,,5.32300997913841,2.8094026953625,6.95806809285573,,,8.4,,,,,3,2.38919956583082,,,
E-0010733,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,333.376,39.52,5,0,4,0.318181818181818,0.118544826262238,-0.193195600203025,0.1256185009682,2.54207318129542,417.185133312387,446.041586808043,5.63466526300122,-12.442733346432,,4.68213122712422,3.52636052461616,8.18311807939475,,,4.3,,,,,2,3.10260327575939,,,
E-0010734,CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,300.944,30.29,4,0,4,0.25,0.100649954808868,-0.193275002048331,0.125856571826598,1.64907475948642,384.893853827626,327.691890106502,4.69080094177131,-10.3823217848286,,5.41164605185504,3.11351530921037,7.58105683132138,,,8.1,,,,,3,2.42883696768325,,,
E-0010736,Cc1c2ccncc2cc2c3cc(OCCN4CCC(O)CC4)ccc3n(C)c12,365.896,50.52,5,1,4,0.375,0.138072020464832,-0.191926438082295,0.128326810427417,3.72371060874718,448.083523572355,432.93599784409,6.42423928577604,-14.3171627406692,,5.37989735354046,2.96527306606928,5.1834675248691,,,2.8,,,,,3,3.54715129428524,,,
E-0010737,Cc1c2ccncc2cc2c3cc(OCCN4CCC(F)CC4)ccc3n(C)c12,362.528,30.29,4,0,4,0.375,0.0835521670050313,-0.192035393001442,0.128609528214297,2.37797000774609,441.852134638679,389.763050685344,5.75126646504754,-12.754570677525,,4.91265488573605,3.3178157727231,6.30280210915811,,,1.3,,,,,3,4.32972068197194,,,
E-0010738,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N(C)C)ccc3n(C)c12,334.544,30.29,4,0,4,0.318181818181818,0.0905411545267588,-0.191561904663298,0.128174501077871,2.31004818381818,414.267531389951,294.308452022619,4.8124133466584,-10.663239844262,,5.33753807970132,2.65324196460722,5.5671988095361,,,1.8,,,,,3,3.9992195504583,,,
E-0010739,Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)NCC2,328.688,67.65,5,2,3,0.333333333333333,0.205818283600253,-0.198544785057806,0.156698052235808,3.38438179261797,383.577416631949,591.643833176942,7.91451458278849,-17.4170639094848,,5.14749447681345,3.07269331469012,5.17332087637335,,,12.6,,,,,3,1.93679846870406,,,
E-0010751,Cn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,297.848,51.44,5,1,3,0.2,0.172705541081357,-0.196797004028006,0.131268394064783,3.35313508188977,378.33484664071,366.206114692796,6.08079019275441,-13.5261427961932,,5.26785815906333,,6.53480576255065,,,7,,,,,3,2.58668934409794,,,
E-0010754,CN(C)CCOc1ccc2c(c1)c1cc3cnccc3cc1n2C,301.24,30.29,4,0,4,0.25,0.100551055636702,-0.194771453507698,0.130071994577844,2.21893736231547,381.120810108157,301.320592641621,4.8369568173132,-10.7545289218429,,5.14166355650266,3.02042488614436,5.91458350277202,,,8.2,,,,,3,2.41547814335624,,,
E-0010765,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3c(OCCCN4CCN(C)CC4)cccc3n(C)c12,514.816,65.87,7,1,9,0.483870967741936,0.127948626305321,-0.20191041807773,0.124200903731225,2.60002436911625,593.80212922573,480.191834238285,6.01459895637178,-13.1986360922991,,4.99043258677874,3.16547504814109,4.81299703319041,,,2.3,,,,,3,3.74899243611363,,,
E-0010766,Cc1nc(C(N)=O)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,301.528,94.53,6,2,4,0.277777777777778,0.313503223581226,-0.204024840054434,0.150637493462541,2.89766183937313,343.07843513092,479.266374423307,8.11756617734257,-17.9648651364481,,5.21493575760899,,5.50411127952713,,,29,,,,,3,0.895384047054841,,,
E-0010767,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3nc21,331.4,56.07,6,0,4,0.380952380952381,0.169191309595655,-0.210959170425443,0.12061283560613,3.52410974770474,411.00919875476,332.447250109756,4.79949998946252,-10.703792647082,,5.12989871492307,2.50143595173921,6.10724558009369,,,20.9,,,,,3,1.33096371580284,,,
