Molecule,SMILES,Volume,PSA_RDKit,NHA,NHD,NRB,FractionCSP3,PSA_Volume_Ratio,E_HOMO,E_LUMO_HOMO_GAP,Dipole_Moment,Polarizability,PSA_DFT,Partition_Energy_kcal_mol,Hydration_Energy_kcal_mol,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB
E-0010457,Cc1c2ccncc2cc2c3cc(C(=O)NCCN(C)C)ccc3n(C)c12,341.072,50.16,4,1,4,0.272727273,0.147065722,-0.202794767,0.137302018,1.385905882,427.0317808,443.1478194,6.724644772,-14.74564236,,,,325,,,,,
E-0010464,COc1ccc2c(c1)c1cc(C(=O)NCCCN(C)C)nc(C)c1n2C,339.288,59.39,5,1,6,0.4,0.175043031,-0.202421874,0.151531111,2.576797539,376.0030682,386.4873622,6.208853833,-13.70791581,,182,,481.7,,,23.7,,
E-0010481,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,418.336,62.63,6,1,10,0.5,0.149712193,-0.202540855,0.151274418,3.22133907,447.5703325,389.1401858,6.864203698,-15.20904242,,203,,275.1,,,62.1,,
E-0010482,Cc1nc(C(=O)NCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,402.096,62.63,6,1,9,0.47826087,0.155758824,-0.202397539,0.151449835,2.807119414,433.5618087,422.2752259,6.667090579,-14.73217899,,224,,216.7,,,37,,
E-0010495,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,314.336,51.44,5,1,3,0.238095238,0.163646544,-0.193842036,0.129612378,2.251282675,399.9558321,344.1278434,6.119488377,-13.62691627,,,,233,,,,,
E-0010519,CN(C)CCCNC(=O)c1cc2c3cc(OCCCN(C)C)ccc3n(C)c2cn1,402.448,62.63,6,1,10,0.47826087,0.15562259,-0.203331452,0.147141654,3.4102133,433.3038292,424.4374331,6.61610499,-14.67932711,,180,,128.9,,,43.9,,
E-0010520,CN(C)CCCOc1ccc2c(c1)c1cc(C(=O)NCCN(C)C)ncc1n2C,385.016,62.63,6,1,9,0.454545455,0.162668564,-0.2033215,0.146959287,3.534544554,418.1066414,423.0971828,6.511561419,-14.46514085,,194,,41.2,,,74.1,,
E-0010559,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,303.616,56.15,4,1,3,0.2,0.184937553,-0.19380605,0.129486093,4.078956031,381.6727767,473.4445995,6.753138635,-14.86404296,,12.5,48.9,737.5,,,1.4,,
E-0010561,COc1ccc2c(c1)c1cc3c(C(=O)NCCN(C)C)nccc3c(C)c1n2C,366.384,59.39,5,1,5,0.304347826,0.16209769,-0.192344865,0.116379364,1.702156161,453.5193503,482.5520055,5.588592801,-12.30739651,,157,,3325.1,,,3.6,,
E-0010562,Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,356.848,30.29,4,0,4,0.375,0.084882079,-0.191718134,0.128297171,2.244318788,442.1835258,293.7280991,4.793629422,-10.63328002,,140,12.6,297.7,,,3.4,,
E-0010567,Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,284.432,53.07,4,1,3,0.210526316,0.186582382,-0.191588145,0.128277247,2.606888794,367.327147,335.9196188,5.577446642,-12.40322605,,156,13.6,144.2,,,2.9,,
E-0010568,COc1ccc2c(c1)c1cc3c(C(=O)NCCCN(C)C)nccc3c(C)c1n2C,382.36,59.39,5,1,6,0.333333333,0.155324825,-0.192706825,0.117379435,1.936140978,468.6007697,446.2524774,5.424121186,-11.95841617,,,,1426.9,,,,,
E-0010569,Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,370.48,33.53,5,0,4,0.375,0.090504211,-0.191663661,0.128217272,2.09305261,453.0415161,316.7399855,5.397169627,-12.01643304,,237,17.6,266.8,,,2.4,,
E-0010578,CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,351.24,30.29,4,0,6,0.347826087,0.086237331,-0.191721903,0.128354908,2.315032505,430.2570422,289.3425772,4.849614058,-10.76512281,,245,12.7,237.5,,,3.1,,
E-0010584,COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,255.04,27.05,3,0,1,0.166666667,0.106061794,-0.190330261,0.123295631,1.840417285,342.2928887,304.0371957,4.423894864,-9.770349308,,,90.7,1456.8,,,0.8,,
E-0010596,Cc1c2ccncc2cc2c3ccc(OCC4=NCCN4)cc3n(C)c12,314.32,51.44,5,1,3,0.238095238,0.163654874,-0.199647057,0.138895561,3.097304846,403.5087631,359.8157724,6.18304212,-13.7393269,,,,611.9,,,,,
E-0010600,COc1ccc2oc3c(C)c4ccncc4cc3c2c1,234.208,35.26,3,0,1,0.117647059,0.150549939,-0.211318154,0.14192428,2.225321185,306.5747829,185.7595312,3.593079047,-8.032775989,,,112.1,273.4,,,0.6,,
E-0010604,Cc1c2ccncc2cc2c3cc(OC[C@H]4CCCN4)ccc3n(C)c12,323.728,39.08,4,1,3,0.318181818,0.120718628,-0.191516057,0.128242853,2.534093193,408.3036336,320.3208034,5.112686569,-11.36718178,,174,,211.2,,,3.7,,
E-0010607,Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,314.576,51.44,5,1,3,0.238095238,0.163521693,-0.201422821,0.137591826,2.902154316,395.1578644,368.7603225,5.949146965,-13.16185606,,,18.7,578.9,,,,,
E-0010611,Cc1c2ccncc2cc2c3cc(OC[C@@H]4CCCN4)ccc3n(C)c12,323.752,39.08,4,1,3,0.318181818,0.120709679,-0.192150758,0.128543778,2.512590528,408.3475293,317.510271,5.22671846,-11.60192622,,227,,228.2,,,1.8,,
E-0010625,Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,320.736,47.36,4,0,3,0.238095238,0.147660381,-0.193528805,0.12934082,1.575709951,399.0049876,414.6494032,6.228518877,-13.77091137,,7.73,65.7,867.9,,,1.7,,
E-0010627,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,434.344,71.86,7,1,9,0.52,0.165444901,-0.20133489,0.148593488,3.725354367,466.2740672,546.9231739,7.495118744,-16.50027299,,150,,498.1,,,47.1,,
E-0010628,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,398.784,83.78,7,2,8,0.434782609,0.21008867,-0.203954561,0.150317863,3.104268267,433.6853624,455.7815939,7.913270546,-17.56120332,,,,56.6,,,,,
E-0010647,CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,306.312,65.97,6,2,7,0.277777778,0.215368644,-0.208141968,0.157197614,3.359793112,358.4218929,380.0925457,5.804195521,-12.94846965,1.5,,,,4.16,1.92,,,
E-0010656,CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3c(C)c21,331.488,51.44,5,1,4,0.272727273,0.155179071,-0.194254891,0.130353339,2.325588598,415.8454553,342.2282489,6.092687156,-13.57945892,,202,,485.1,,,1.4,,
E-0010660,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4C)ccc3n(C)c12,331.704,42.65,5,0,3,0.272727273,0.128578492,-0.19275035,0.129178209,3.526283852,414.5052892,388.1180551,5.830436948,-12.86726714,,74.7,,244.4,,,5.6,,
E-0010662,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,333.384,39.52,5,0,4,0.318181818,0.118541982,-0.194859052,0.130059902,2.849144339,413.6648035,379.0928558,5.734306049,-12.75189443,,208,29,1364.9,,,1.8,,
E-0010676,Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,339.032,34.59,5,0,4,0.318181818,0.102025767,-0.206300801,0.136372798,1.595291162,419.8410071,232.4706517,5.047519415,-11.35702172,,,45.5,2336.6,,,,,
E-0010686,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C(C)C)c12,348.064,51.44,5,1,4,0.304347826,0.147788912,-0.19463886,0.13068403,3.421748581,426.9758557,346.0598849,6.045409152,-13.46520818,,,,405.1,,,,,
E-0010690,Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,260.904,60.91,3,1,1,0.111111111,0.233457517,-0.203383759,0.137721368,1.681762134,351.8968952,505.8385256,7.303551091,-15.95485111,,,73.4,1405.5,,,1.7,,
E-0010691,CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,277.72,46.92,3,1,1,0.157894737,0.168947141,-0.203008916,0.137402287,1.649673578,369.4000938,489.3785757,6.883030768,-14.94219358,,,41.1,221.8,,,1.7,,
E-0010712,Cc1c2ccncc2cc2c3cc(C(=O)NCCO)ccc3n(C)c12,302.016,67.15,4,2,3,0.2,0.222339214,-0.204571639,0.137947722,2.535085944,392.0396169,605.892902,7.914777739,-17.20871755,,,16.4,191.4,,,,,
E-0010713,COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,320.528,56.15,4,1,4,0.238095238,0.175179703,-0.203144214,0.137478755,1.95320873,404.5086573,439.8621766,6.837808192,-15.05194966,,144,40,1900.2,,,5.9,,
E-0010724,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,301.16,53.07,4,1,3,0.25,0.176218621,-0.191747079,0.128393224,2.642628955,383.2873235,331.9891698,5.517424672,-12.26203339,,,,71.1,,,,,
E-0010727,Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,337.76,82.61,6,1,5,0.4,0.244581952,-0.201708088,0.149454752,3.639161057,373.8492281,509.9590707,7.60719208,-16.82765758,,14.5,11.7,1602.1,,,8.5,,
E-0010730,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,514.552,65.87,7,1,9,0.483870968,0.128014273,-0.198097056,0.125556935,3.055936639,604.7818195,602.4545961,6.975161138,-15.27845025,,204,15.6,1050.6,,,8.4,,
E-0010733,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,333.376,39.52,5,0,4,0.318181818,0.118544826,-0.1931956,0.125618501,2.542073181,417.1851333,446.0415868,5.634665263,-12.44273335,,107,33,3579,,,4.3,,
E-0010734,CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,300.944,30.29,4,0,4,0.25,0.100649955,-0.193275002,0.125856572,1.649074759,384.8938538,327.6918901,4.690800942,-10.38232178,,223,21.5,1959.7,,,8.1,,
E-0010736,Cc1c2ccncc2cc2c3cc(OCCN4CCC(O)CC4)ccc3n(C)c12,365.896,50.52,5,1,4,0.375,0.13807202,-0.191926438,0.12832681,3.723710609,448.0835236,432.9359978,6.424239286,-14.31716274,,216,18.4,177.3,,,2.8,,
E-0010737,Cc1c2ccncc2cc2c3cc(OCCN4CCC(F)CC4)ccc3n(C)c12,362.528,30.29,4,0,4,0.375,0.083552167,-0.192035393,0.128609528,2.377970008,441.8521346,389.7630507,5.751266465,-12.75457068,,135,26.6,545.1,,,1.3,,
E-0010738,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N(C)C)ccc3n(C)c12,334.544,30.29,4,0,4,0.318181818,0.090541155,-0.191561905,0.128174501,2.310048184,414.2675314,294.308452,4.812413347,-10.66323984,,207,13.2,260.7,,,1.8,,
E-0010739,Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)NCC2,328.688,67.65,5,2,3,0.333333333,0.205818284,-0.198544785,0.156698052,3.384381793,383.5774166,591.6438332,7.914514583,-17.41706391,,171,20.6,175.5,,,12.6,,
E-0010751,Cn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,297.848,51.44,5,1,3,0.2,0.172705541,-0.196797004,0.131268394,3.353135082,378.3348466,366.2061147,6.080790193,-13.5261428,,193,,687.7,,,7,,
E-0010754,CN(C)CCOc1ccc2c(c1)c1cc3cnccc3cc1n2C,301.24,30.29,4,0,4,0.25,0.100551056,-0.194771454,0.130071995,2.218937362,381.1208101,301.3205926,4.836956817,-10.75452892,,170,19.5,369.4,,,8.2,,
E-0010765,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3c(OCCCN4CCN(C)CC4)cccc3n(C)c12,514.816,65.87,7,1,9,0.483870968,0.127948626,-0.201910418,0.124200904,2.600024369,593.8021292,480.1918342,6.014598956,-13.19863609,,146,22.7,122.1,,,2.3,,
E-0010766,Cc1nc(C(N)=O)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,301.528,94.53,6,2,4,0.277777778,0.313503224,-0.20402484,0.150637493,2.897661839,343.0784351,479.2663744,8.117566177,-17.96486514,,183,,244.7,,,29,,
E-0010767,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3nc21,331.4,56.07,6,0,4,0.380952381,0.16919131,-0.21095917,0.120612836,3.524109748,411.0091988,332.4472501,4.799499989,-10.70379265,,168,11.2,448.1,,,20.9,,
E-0010768,Cc1c2ccncc2cc2c3cc(C#N)ccc3n(C)c12,247.352,41.61,3,0,0,0.111111111,0.168221805,-0.207542779,0.138113524,3.972042306,347.8147146,525.1267834,5.934465198,-12.86565188,,,136.7,899.7,,,,,
E-0010771,CN(C)CCNC(=O)c1ccc2c(c1)c1cc3ccncc3nc1n2C,320.032,63.05,5,1,4,0.25,0.197011549,-0.217734854,0.137207687,3.69202117,399.5440111,424.6340482,6.375413727,-14.04887212,,,,739.2,,,,,
E-0010772,Cn1c2ccc(OCC3=NCCN3)cc2c2cc3ccncc3nc21,293.504,64.33,6,1,3,0.210526316,0.219179296,-0.205640513,0.126450948,2.082458745,371.5840256,350.9982241,5.950514225,-13.26194811,,,27.9,1145.2,,,,,
E-0010774,Cc1c2ccncc2cc2c3cc(N4CCN(C)CC4)ccc3n(C)c12,327.336,24.3,4,0,1,0.318181818,0.074235648,-0.184157724,0.122058753,2.833679631,428.4964614,312.2441042,4.855228355,-10.74453887,,,,299.1,,,,,
E-0010776,Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3nc21,324.928,65.3,7,0,4,0.35,0.200967599,-0.211511164,0.121210808,3.176727204,398.30738,390.9359174,5.765249996,-12.88026201,,130,20,1125.8,,,22.5,,
E-0010784,Cn1c2ccc(OCC(=N)N)cc2c2cc3cnccc3cc21,273.536,76.92,4,2,3,0.111111111,0.28120613,-0.196807666,0.131306049,3.107540637,355.1676184,503.39563,7.244371824,-16.09060378,,34.3,,683,,,6,,
E-0010786,Cn1c2ccc(OCC3=NCCN3)cc2c2nc3cnccc3nc21,289.08,77.22,7,1,3,0.222222222,0.267123288,-0.214645692,0.123473296,3.714572376,366.0718452,377.0543606,6.293829875,-14.03992124,,163,,548.8,,,28.7,,
E-0010812,Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)N(C)CC2,346.048,58.86,5,1,3,0.363636364,0.17009201,-0.19804971,0.156518801,3.348779061,402.7525309,577.9958924,7.436530202,-16.2549849,,152,12.9,439.1,,,8.4,,
E-0010816,CN(C)CCCNc1nccc2c1C(=O)c1c([nH]c3ccc(OCC4=NCCN4)cc13)C2=O,399.92,111.71,8,3,8,0.333333333,0.279330866,-0.211368126,0.094503637,1.059666649,483.2146543,324.2566575,7.428366004,-16.78251177,,,,34,,,,,
E-0010922,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)cc(F)c3n(C)c12,319.112,51.44,5,1,3,0.238095238,0.161197323,-0.19653557,0.130071952,2.63637916,392.5893908,288.4178123,5.702353787,-12.77056193,,,12.6,1129.6,,,,,
E-0010975,CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,314.544,51.44,5,1,4,0.238095238,0.163538329,-0.196905131,0.131091974,2.189629204,397.5352289,337.2886273,6.055335697,-13.50308747,,147,24.7,273.9,,,13.5,,
E-0010989,Cc1c2ccncc2cc2c3cc(OCCN(C)C)cc(F)c3n(C)c12,323.152,30.29,4,0,4,0.285714286,0.09373298,-0.194534603,0.1288834,2.393922499,397.3409527,212.269993,4.489537614,-10.04529746,,,,799.6,,,,,
E-0010994,Cn1c2ccc(OCC(=N)N)cc2c2cc3ncccc3cc21,273.512,76.92,4,2,3,0.111111111,0.281230805,-0.195364907,0.127152571,3.185042922,358.5762226,442.2371063,6.996266847,-15.53581446,,78.3,15.7,1853.6,,,6.2,,
E-0011026,COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,297.544,71.96,6,2,7,0.166666667,0.241846584,-0.194886679,0.163558218,2.256934866,329.0636354,459.7343641,6.402596837,-14.20322653,2.8,67.4,104.8,1164.8,26.39,0.78,8,,
E-0011078,CN(C)CCCn1ccc2nc3ccc(OCC4=NCCN4)cc3c-2c1,334.336,54.68,6,1,7,0.4,0.163548047,-0.193345729,0.144855859,3.806357726,375.5716479,726.6506201,8.870622037,-19.08474871,,207,,,,,72.8,,
E-0011079,c1cc2cc3[nH]c4ccc(OCC5=NCCN5)cc4c3cc2cn1,280.624,62.3,4,2,3,0.157894737,0.222005245,-0.198748802,0.133288967,3.283516585,359.2674174,310.3557891,6.694682675,-14.8725178,,160,22.8,193.3,,,69.4,,
E-0011083,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,378.456,91.75,8,2,8,0.136363636,0.24243241,-0.208703083,0.166468142,4.679636292,438.1773454,467.0641016,6.239613276,-13.96941273,-0.1,95.2,25.4,339.3,,,9.5,,
E-0011122,NC(=O)CN1C(=O)Cc2ccc(-c3ccccc3)cc21,241.592,63.4,2,1,3,0.125,0.262425908,-0.219588875,0.176309617,1.131373569,264.5980437,266.0829155,5.605649793,-12.70313337,,40.4,13.5,136.3,,,5.4,,
E-0011133,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,388.736,100.98,9,2,9,0.173913043,0.259764982,-0.195289477,0.155916919,1.405935488,450.5500876,519.7318611,7.376303355,-16.57081259,-0.6,90.8,20.6,319.3,,,29.4,,
E-0011137,CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,388.632,100.98,9,2,9,0.173913043,0.259834496,-0.195472017,0.156387151,4.600547072,449.5396518,694.8218103,8.088897877,-17.81984733,-0.6,97.2,19.9,361.8,,,30.7,,
E-0011166,Cc1c2cnccc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,317.552,30.29,4,0,4,0.285714286,0.095385953,-0.190478688,0.123409198,2.061905862,399.2017856,296.3591505,4.83100925,-10.74806677,,158,33.4,664.2,,,2.9,,
